"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"19,359,077","+112,083","719,609","+2,873","12,440,005","6,199,463","65,196","2,484",92.3,,,
,,,,,,,,,,,,
USA,"5,041,539","+9,360","162,980",+176,"2,579,191","2,299,368","18,296","15,222",492,"63,162,558","190,709","331,198,130"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,917,562",,"98,644",,"2,047,660","771,258","8,318","13,716",464,"13,206,188","62,085","212,710,692"
India,"2,076,553","+51,144","42,436",+798,"1,419,699","614,418","8,944","1,503",31,"22,788,393","16,497","1,381,344,997"
,,,,,,,,,,,,
Russia,"877,135","+5,241","14,725",+119,"683,592","178,818","2,300","6,010",101,"30,038,123","205,824","145,940,924"
South Africa,"538,184",,"9,604",,"387,316","141,264",539,"9,063",162,"3,149,807","53,044","59,381,566"
Mexico,"462,690","+6,590","50,517",+819,"308,848","103,325","3,987","3,585",391,"1,056,915","8,189","129,066,160"
Peru,"455,409",,"20,424",,"310,337","124,648","1,426","13,793",619,"2,493,429","75,521","33,016,319"
Chile,"366,671",,"9,889",,"340,168","16,614","1,358","19,165",517,"1,760,615","92,022","19,132,514"
Colombia,"357,710",,"11,939",,"192,355","153,416","1,493","7,023",234,"1,801,835","35,374","50,936,262"
Spain,"354,530",,"28,500",,N/A,N/A,617,"7,582",610,"7,064,329","151,087","46,756,648"
Iran,"322,567","+2,450","18,132",+156,"279,724","24,711","4,136","3,836",216,"2,637,575","31,363","84,097,623"
UK,"309,005",+871,"46,511",+98,N/A,N/A,69,"4,549",685,"17,515,234","257,873","67,922,029"
Saudi Arabia,"285,793","+1,567","3,093",+38,"248,948","33,752","1,892","8,197",89,"3,694,004","105,949","34,865,919"
Pakistan,"282,645",+782,"6,052",+17,"258,099","18,494",826,"1,277",27,"2,079,333","9,396","221,295,851"
Bangladesh,"252,502","+2,851","3,333",+27,"145,584","103,585",,"1,532",20,"1,237,823","7,509","164,851,401"
Italy,"249,756",+552,"35,190",+3,"201,642","12,924",42,"4,131",582,"7,158,909","118,422","60,452,568"
Turkey,"237,265",,"5,798",,"220,546","10,921",580,"2,810",69,"5,081,802","60,191","84,428,331"
Argentina,"228,195",,"4,291",+40,"103,297","120,607","1,150","5,044",95,"812,564","17,962","45,236,884"
Germany,"215,604",+394,"9,252",,"196,200","10,152",236,"2,572",110,"8,586,648","102,452","83,811,260"
France,"195,633",,"30,312",,"82,460","82,861",384,"2,996",464,"3,992,206","61,147","65,288,306"
Iraq,"144,064","+3,461","5,236",+75,"103,197","35,631",566,"3,574",130,"1,110,258","27,546","40,306,025"
Philippines,"122,754","+3,379","2,168",+24,"66,852","53,734",239,"1,119",20,"1,703,805","15,528","109,722,719"
Indonesia,"121,226","+2,473","5,593",+72,"77,557","38,076",,443,20,"1,663,315","6,075","273,808,365"
Canada,"118,561",,"8,966",,"103,106","6,489","2,263","3,139",237,"4,319,172","114,339","37,775,022"
Qatar,"112,383",+291,180,+2,"109,142","3,061",82,"40,025",64,"513,930","183,036","2,807,805"
Kazakhstan,"96,922",+980,"1,058",,"70,680","25,184",221,"5,156",56,"2,183,308","116,142","18,798,667"
Egypt,"95,006",,"4,951",,"48,898","41,157",41,927,48,"135,000","1,317","102,516,525"
Ecuador,"90,537",,"5,877",,"71,318","13,342",378,"5,124",333,"258,582","14,635","17,668,824"
Bolivia,"86,423","+1,282","3,465",+80,"27,373","55,585",71,"7,394",296,"183,583","15,706","11,688,459"
China,"84,565",+37,"4,634",,"79,088",843,36,59,3,"90,410,000","62,814","1,439,323,776"
Sweden,"82,323",+41,"5,763",+5,N/A,N/A,34,"8,146",570,"863,315","85,429","10,105,596"
Oman,"81,067",+354,502,+10,"72,263","8,302",172,"15,838",98,"309,212","60,411","5,118,446"
Israel,"80,991","+1,432",581,+5,"55,313","25,097",369,"8,806",63,"1,872,453","203,581","9,197,590"
Ukraine,"78,261","+1,453","1,852",+33,"43,055","33,354",143,"1,791",42,"1,135,051","25,970","43,705,858"
Dominican Republic,"77,709","+1,173","1,259",+13,"41,393","35,057",317,"7,156",116,"281,926","25,963","10,858,648"
