"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"17,489,602","+26,299","677,018","+1,051","10,951,915","5,860,669","66,346","2,244",86.9,,,
,,,,,,,,,,,,
USA,"4,634,985",,"155,285",,"2,284,965","2,194,735","18,783","13,996",469,"57,521,144","173,695","331,161,077"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,613,789",,"91,377",,"1,824,095","698,317","8,318","12,290",430,"12,601,096","59,249","212,681,838"
India,"1,643,416","+4,066","35,807",+21,"1,059,983","547,626","8,944","1,190",26,"18,832,970","13,636","1,381,085,714"
,,,,,,,,,,,,
Russia,"839,981","+5,482","13,963",+161,"638,410","187,608","2,300","5,756",96,"28,161,461","192,966","145,939,731"
South Africa,"482,169",,"7,812",,"309,601","164,756",539,"8,122",132,"2,918,049","49,152","59,367,266"
Mexico,"416,179","+7,730","46,000",+639,"272,187","97,992","3,922","3,225",356,"968,536","7,506","129,040,268"
Peru,"407,492",,"19,021",,"283,915","104,556","1,421","12,345",576,"2,318,254","70,234","33,007,532"
Chile,"353,536",,"9,377",,"326,628","17,531","1,529","18,481",490,"1,601,118","83,699","19,129,379"
Spain,"332,510",,"28,443",,N/A,N/A,617,"7,112",608,"6,678,414","142,835","46,756,303"
UK,"302,301",,"45,999",,N/A,N/A,87,"4,451",677,"15,738,735","231,741","67,915,222"
Iran,"301,530",,"16,569",,"261,200","23,761","4,041","3,586",197,"2,431,804","28,924","84,077,062"
Colombia,"286,020",,"9,810",,"148,695","127,515","1,493","5,616",193,"1,537,689","30,195","50,925,896"
Pakistan,"278,305",+903,"5,951",+27,"247,177","25,177","1,146","1,258",27,"1,973,237","8,920","221,213,683"
Saudi Arabia,"274,219",,"2,842",,"231,198","40,179","2,044","7,867",82,"3,289,692","94,381","34,855,542"
Italy,"247,158",,"35,132",,"199,796","12,230",47,"4,088",581,"6,752,169","111,691","60,454,261"
