"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"18,739,772","+46,220","705,108","+1,720","11,951,593","6,083,071","65,421","2,404",90.5,,,
,,,,,,,,,,,,
USA,"4,919,148",+728,"160,335",+45,"2,482,909","2,275,904","18,407","14,853",484,"61,622,244","186,064","331,187,544"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,808,076",,"96,096",,"1,970,767","741,213","8,318","13,202",452,"13,329,028","62,665","212,702,448"
India,"1,913,496","+6,883","39,876",+56,"1,285,798","587,822","8,944","1,385",29,"21,484,402","15,554","1,381,270,916"
,,,,,,,,,,,,
Russia,"866,627","+5,204","14,490",+139,"669,026","183,111","2,300","5,938",99,"29,400,000","201,452","145,940,583"
South Africa,"521,318",,"8,884",,"363,751","148,683",539,"8,780",150,"3,078,202","51,841","59,377,480"
Mexico,"449,961","+6,148","48,869",+857,"300,254","100,838","3,925","3,486",379,"1,026,294","7,952","129,058,762"
Peru,"439,890",,"20,007",,"302,457","117,426","1,418","13,324",606,"2,440,184","73,914","33,013,808"
Chile,"362,962",,"9,745",,"336,330","16,887","1,405","18,972",509,"1,716,415","89,716","19,131,618"
Spain,"349,894",,"28,498",,N/A,N/A,617,"7,483",609,"7,064,329","151,087","46,756,550"
Colombia,"334,979",,"11,315",,"180,258","143,406","1,493","6,577",222,"1,723,508","33,839","50,933,300"
Iran,"317,483","+2,697","17,802",+185,"274,932","24,749","4,129","3,775",212,"2,587,083","30,765","84,091,748"
UK,"306,293",,"46,299",,N/A,N/A,77,"4,510",682,"16,942,992","249,455","67,920,084"
Saudi Arabia,"281,456",,"2,984",,"243,713","34,759","1,983","8,073",86,"3,580,139","102,692","34,862,954"
Pakistan,"281,136",+675,"6,014",+15,"254,286","20,836",872,"1,271",27,"2,043,870","9,237","221,272,375"
Italy,"248,419",,"35,171",,"200,766","12,482",41,"4,109",582,"6,984,589","115,537","60,453,051"
Bangladesh,"246,674","+2,654","3,267",+33,"141,750","101,657",,"1,496",20,"1,212,416","7,355","164,842,442"
Turkey,"234,934",,"5,765",,"218,491","10,678",583,"2,783",68,"4,973,466","58,911","84,423,375"
Argentina,"213,535",,"3,979",,"94,129","115,427","1,150","4,721",88,"760,746","16,818","45,234,620"
Germany,"213,080",,"9,239",+7,"194,700","9,141",270,"2,542",110,"8,006,135","95,527","83,809,800"
France,"192,334",,"30,296",,"82,166","79,872",384,"2,946",464,"2,982,302","45,680","65,287,519"
Iraq,"134,722",,"5,017",,"96,103","33,602",511,"3,343",124,"1,059,619","26,293","40,301,081"
Canada,"117,792",,"8,958",,"102,450","6,384","2,254","3,118",237,"4,236,521","112,157","37,773,215"
Indonesia,"116,871","+1,815","5,452",+64,"73,889","37,530",,427,20,"1,575,043","5,753","273,792,569"
Philippines,"115,980","+3,462","2,123",+9,"66,270","47,587",239,"1,057",19,"1,616,738","14,736","109,714,749"
Qatar,"111,538",,177,,"108,254","3,107",73,"39,724",63,"505,148","179,909","2,807,805"
Kazakhstan,"94,882","+1,062","1,058",,"67,031","26,793",221,"5,048",56,"2,113,795","112,451","18,797,440"
Egypt,"94,752",,"4,912",,"45,569","44,271",41,924,48,"135,000","1,317","102,505,962"
Ecuador,"87,963",,"5,808",,"70,985","11,170",366,"4,979",329,"250,720","14,191","17,667,359"
China,"84,491",+27,"4,634",,"79,047",810,36,59,3,"90,410,000","62,814","1,439,323,776"
Bolivia,"83,361","+1,515","3,320",+92,"25,390","54,651",71,"7,132",284,"178,244","15,251","11,687,588"
Sweden,"81,540",+66,"5,760",+5,N/A,N/A,41,"8,069",570,"863,315","85,432","10,105,252"
Oman,"79,159",,421,,"61,421","17,317",187,"15,468",82,"305,651","59,724","5,117,734"
Israel,"76,763",+565,564,+3,"51,331","24,868",355,"8,346",61,"1,842,335","200,306","9,197,590"
Ukraine,"75,490","+1,271","1,788",+24,"41,527","32,175",136,"1,727",41,"1,081,146","24,736","43,707,286"
Dominican Republic,"74,295",,"1,213",,"38,824","34,258",385,"6,842",112,"268,529","24,731","10,858,054"
Belgium,"70,648",+334,"9,852",+2,"17,639","43,157",63,"6,093",850,"1,743,265","150,353","11,594,464"
Kuwait,"69,425",+651,468,+3,"60,906","8,051",128,"16,235",109,"518,601","121,273","4,276,313"
Panama,"69,424",,"1,522",,"43,330","24,572",161,"16,067",352,"234,954","54,376","4,320,910"
Belarus,"68,376",+126,577,+3,"63,425","4,374",,"7,236",61,"1,334,868","141,271","9,449,018"
UAE,"61,606",+254,353,+2,"55,385","5,868",,"6,222",36,"5,262,658","531,505","9,901,426"
Romania,"56,550","+1,309","2,521",+41,"28,584","25,445",464,"2,942",131,"1,295,222","67,373","19,224,721"
Netherlands,"56,381",+426,"6,153",+3,N/A,N/A,45,"3,290",359,"1,079,860","63,008","17,138,549"
Singapore,"54,254",+908,27,,"47,454","6,773",1,"9,267",5,"1,474,372","251,828","5,854,681"
Guatemala,"52,365",,"2,037",,"40,285","10,043",5,"2,918",114,"165,506","9,223","17,945,085"
Portugal,"51,681",,"1,739",,"37,318","12,624",44,"5,070",171,"1,671,422","163,965","10,193,755"
Poland,"48,789",+640,"1,756",+18,"35,321","11,712",72,"1,289",46,"2,374,686","62,752","37,842,527"
Nigeria,"44,433",,910,,"31,851","11,672",7,215,4,"289,133","1,400","206,578,296"
Honduras,"44,299",+505,"1,400",+16,"5,921","36,978",52,"4,466",141,"109,292","11,019","9,918,842"
Bahrain,"42,132",,153,+2,"39,335","2,644",41,"24,691",90,"858,249","502,975","1,706,344"
Japan,"39,858",,"1,016",,"27,197","11,645",88,315,8,"877,134","6,937","126,437,965"
Armenia,"39,586",+288,770,+2,"30,850","7,966",,"13,357",260,"170,012","57,363","2,963,781"
Ghana,"39,075","+1,263",199,+8,"35,563","3,313",8,"1,255",6,"399,446","12,832","31,129,932"
Kyrgyzstan,"38,110",+569,"1,438",+11,"29,513","7,159",24,"5,833",220,"267,718","40,974","6,533,890"
Afghanistan,"36,829",+47,"1,294",+6,"25,742","9,793",31,944,33,"89,822","2,303","39,004,644"
Switzerland,"35,746",,"1,981",,"31,600","2,165",24,"4,127",229,"808,031","93,300","8,660,607"
Azerbaijan,"33,103",+193,476,+3,"28,840","3,787",66,"3,262",47,"759,129","74,808","10,147,744"
Algeria,"32,504",,"1,248",,"22,375","8,881",57,740,28,,,"43,921,746"
Uzbekistan,"27,554",+507,169,+4,"18,682","8,703",224,822,5,"1,377,915","41,115","33,513,375"
Morocco,"27,217",,417,,"19,629","7,171",31,737,11,"1,338,989","36,237","36,950,969"
Serbia,"26,738",,605,,"14,047","12,086",143,"3,061",69,"703,246","80,520","8,733,856"
Ireland,"26,253",,"1,763",,"23,364","1,126",5,"5,311",357,"644,227","130,334","4,942,899"
Moldova,"25,814",,810,,"18,167","6,837",362,"6,401",201,"128,076","31,757","4,033,034"
Kenya,"23,202",,388,,"9,327","13,487",44,431,7,"322,923","5,994","53,874,673"
Austria,"21,566",+85,719,,"19,464","1,383",25,"2,393",80,"923,902","102,527","9,011,297"
Venezuela,"21,438",,187,,"11,875","9,376",25,754,7,"1,561,272","54,920","28,427,938"
Nepal,"21,390",+381,60,+2,"15,156","6,174",,733,2,"725,355","24,855","29,183,619"
,,,,,,,,,,,,
Ethiopia,"19,877",,343,,"8,240","11,294",153,173,3,"452,427","3,927","115,208,128"
Costa Rica,"19,837",,181,,"6,590","13,066",98,"3,891",36,"96,110","18,851","5,098,476"
Australia,"19,444",+714,247,+15,"10,799","8,398",47,762,10,"4,541,419","177,905","25,527,248"
El Salvador,"18,701",+439,498,+12,"9,111","9,092",509,"2,882",77,"251,271","38,721","6,489,335"
Cameroon,"17,718",,391,,"15,320","2,007",30,666,15,"149,000","5,601","26,602,566"
Czechia,"17,286",,383,,"11,812","5,091",19,"1,614",36,"713,760","66,639","10,710,911"
Ivory Coast,"16,293",,103,,"11,955","4,235",,616,4,"103,624","3,920","26,434,369"
S. Korea,"14,456",+33,302,+1,"13,406",748,14,282,6,"1,598,187","31,170","51,273,492"
Denmark,"14,185",+112,616,,"12,753",816,2,"2,448",106,"1,629,692","281,264","5,794,168"
Bosnia and Herzegovina,"13,138",+282,379,+6,"6,839","5,920",,"4,007",116,"145,559","44,395","3,278,761"
Palestine,"13,065",+295,88,+2,"6,618","6,359",,"2,556",17,"200,280","39,181","5,111,691"
Bulgaria,"12,414",,415,,"6,964","5,035",41,"1,788",60,"281,953","40,609","6,943,138"
Madagascar,"12,222",+327,127,+4,"9,798","2,297",84,440,5,"45,634","1,644","27,751,805"
Sudan,"11,780",,763,,"6,194","4,823",,268,17,401,9,"43,937,927"
North Macedonia,"11,289",+87,511,+6,"7,221","3,557",4,"5,419",245,"108,384","52,024","2,083,366"
Senegal,"10,538",+106,218,+4,"6,988","3,332",38,628,13,"112,844","6,724","16,781,457"
Norway,"9,362",,256,,"8,752",354,1,"1,726",47,"465,317","85,769","5,425,239"
DRC,"9,253",+75,215,,"7,821","1,217",,103,2,,,"89,787,237"
Malaysia,"9,023",+21,125,,"8,702",196,2,278,4,"991,333","30,593","32,404,106"
French Guiana,"7,998",,45,,"6,873","1,080",26,"26,719",150,"40,614","135,678","299,342"
Gabon,"7,646",,51,,"5,408","2,187",11,"3,428",23,"79,255","35,536","2,230,276"
Tajikistan,"7,583",,61,,"6,356","1,166",,794,6,,,"9,556,295"
Haiti,"7,532",+21,171,+5,"4,832","2,529",,660,15,"18,443","1,616","11,415,344"
Finland,"7,512",+29,331,,"6,980",201,1,"1,356",60,"385,233","69,517","5,541,557"
Guinea,"7,489",,48,,"6,591",850,24,569,4,"14,407","1,095","13,162,951"
Luxembourg,"6,917",,118,,"5,537","1,262",7,"11,034",188,"604,696","964,587","626,896"
Zambia,"6,793",,173,,"5,109","1,511",,369,9,"88,471","4,801","18,427,304"
Mauritania,"6,418",,157,,"5,209","1,052",3,"1,377",34,"57,387","12,315","4,660,058"
Paraguay,"5,852",,59,,"4,645","1,148",16,820,8,"129,724","18,167","7,140,612"
Albania,"5,750",,176,,"3,054","2,520",23,"1,998",61,"38,997","13,552","2,877,487"
Croatia,"5,376",+58,154,,"4,589",633,7,"1,310",38,"124,383","30,317","4,102,714"
Lebanon,"5,271",,65,,"1,837","3,369",40,773,10,"322,725","47,304","6,822,386"
Djibouti,"5,248",,59,,"5,044",145,,"5,305",60,"58,445","59,077","989,308"
Greece,"4,855",,209,,"1,374","3,272",13,466,20,"599,709","57,565","10,417,950"
Equatorial Guinea,"4,821",,83,,"2,182","2,556",,"3,427",59,"44,356","31,531","1,406,748"
CAR,"4,618",,59,,"1,640","2,919",2,955,12,"29,567","6,112","4,837,293"
Hungary,"4,564",+11,599,+1,"3,431",534,7,473,62,"350,108","36,251","9,657,918"
Maldives,"4,446",,19,,"2,693","1,734",12,"8,212",35,"83,115","153,520","541,396"
Malawi,"4,361",,128,,"2,047","2,186",4,227,7,"32,144","1,677","19,172,128"
Libya,"4,224",,96,,633,"3,495",,614,14,"55,899","8,125","6,879,842"
Zimbabwe,"4,221",,81,,"1,238","2,902",,284,5,"140,421","9,435","14,882,620"
Nicaragua,"3,902",,123,,"2,913",866,,588,19,,,"6,631,832"
Hong Kong,"3,755",+85,43,+2,"2,314","1,398",45,500,6,"593,962","79,166","7,502,709"
Congo,"3,546",,58,,"1,589","1,899",,641,10,,,"5,529,761"
Montenegro,"3,361",,53,,"1,869","1,439",,"5,351",84,"37,514","59,729","628,074"
Thailand,"3,328",+7,58,,"3,144",126,1,48,0.8,"749,213","10,731","69,816,940"
Somalia,"3,220",,93,,"1,598","1,529",2,202,6,,,"15,930,580"
Mayotte,"3,023",,39,,"2,738",246,2,"11,058",143,"13,000","47,553","273,382"
Eswatini,"2,856",,49,,"1,258","1,549",5,"2,459",42,"20,784","17,897","1,161,282"
Sri Lanka,"2,834",,11,,"2,537",286,1,132,0.5,"166,737","7,783","21,421,873"
Cuba,"2,701",,88,,"2,382",231,1,238,8,"277,863","24,533","11,325,936"
Cabo Verde,"2,631",,26,,"1,930",675,,"4,727",47,"61,633","110,742","556,548"
Mali,"2,543",,124,,"1,946",473,,125,6,"23,873","1,176","20,299,701"
Namibia,"2,470",,12,,211,"2,247",24,971,5,"29,233","11,486","2,545,012"
South Sudan,"2,437",,47,,"1,175","1,215",,217,4,"12,044","1,075","11,205,855"
Slovakia,"2,417",+49,29,,"1,777",611,2,443,5,"269,655","49,388","5,459,901"
Slovenia,"2,208",+18,124,+1,"1,884",200,2,"1,062",60,"134,931","64,903","2,078,966"
Lithuania,"2,147",+10,81,+1,"1,650",416,6,790,30,"536,377","197,319","2,718,327"
Estonia,"2,113",+22,63,,"1,948",102,,"1,593",47,"121,941","91,918","1,326,622"
Rwanda,"2,099",,5,,"1,222",872,,162,0.4,"278,457","21,453","12,979,786"
Mozambique,"2,029",,15,,765,"1,249",,65,0.5,"62,373","1,991","31,329,158"
Guinea-Bissau,"1,981",,27,,803,"1,151",5,"1,005",14,"1,500",761,"1,972,022"
Suriname,"1,981",,27,,"1,278",676,10,"3,374",46,"2,383","4,059","587,125"
Iceland,"1,926",+8,10,,"1,825",91,,"5,641",29,"147,005","430,528","341,453"
Benin,"1,914",,38,,"1,036",840,1,158,3,"85,863","7,067","12,150,235"
Sierra Leone,"1,855",,67,,"1,397",391,,232,8,,,"7,991,281"
Yemen,"1,760",,506,,863,391,,59,17,120,4,"29,883,299"
Tunisia,"1,584",,51,,"1,227",306,3,134,4,"97,245","8,220","11,830,125"
New Zealand,"1,569",+2,22,,"1,523",24,,314,4,"477,909","95,542","5,002,100"
Angola,"1,344",,59,,503,782,20,41,2,"64,747","1,965","32,950,688"
Uruguay,"1,300",,37,,"1,048",215,3,374,11,"122,296","35,194","3,474,890"
Latvia,"1,257",+8,32,,"1,070",155,,667,17,"206,080","109,381","1,884,049"
Jordan,"1,224",,11,,"1,155",58,3,120,1,"616,656","60,382","10,212,585"
Liberia,"1,216",,78,,698,440,,240,15,,,"5,067,967"
Uganda,"1,203",,5,,"1,073",125,,26,0.1,"282,512","6,160","45,859,920"
Georgia,"1,197",+15,17,,974,206,,300,4,"240,473","60,293","3,988,410"
Cyprus,"1,180",,19,,856,305,,977,16,"216,597","179,274","1,208,190"
Burkina Faso,"1,153",,54,,947,152,,55,3,,,"20,951,708"
Niger,"1,152",,69,,"1,037",46,,47,3,"9,052",373,"24,276,615"
Togo,988,,19,,673,296,2,119,2,"44,537","5,369","8,295,519"
Andorra,939,,52,,825,62,1,"12,151",673,"3,750","48,527","77,277"
Chad,938,,75,,814,49,,57,5,,,"16,465,379"
Malta,926,+36,9,,668,249,,"2,097",20,"134,944","305,540","441,657"
Jamaica,920,+15,12,,745,163,,311,4,"40,726","13,748","2,962,407"
Syria,892,,46,,283,563,,51,3,,,"17,537,270"
Sao Tome and Principe,875,,15,,794,66,,"3,986",68,"2,998","13,657","219,521"
Botswana,804,,2,,63,739,1,341,0.8,"68,423","29,044","2,355,816"
Lesotho,726,,21,,174,531,,339,10,"8,665","4,042","2,143,850"
,,,,,,,,,,,,
Bahamas,715,,14,,91,610,1,"1,817",36,"4,622","11,743","393,595"
Vietnam,713,+41,8,,381,324,,7,0.08,"482,456","4,952","97,420,689"
Diamond Princess,712,,13,,651,48,4,,,,,
San Marino,699,,42,,657,0,,"20,596","1,238","6,068","178,797","33,938"
Gambia,671,,14,,79,578,,277,6,"4,859","2,006","2,422,381"
Réunion,669,,4,,592,73,3,747,4,"35,419","39,534","895,917"
Channel Islands,595,,47,,533,15,,"3,419",270,"30,721","176,544","174,013"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,877,049"
Guyana,497,,22,,186,289,2,632,28,"4,975","6,322","786,915"
Taiwan,476,,7,,443,26,,20,0.3,"82,525","3,464","23,820,964"
Burundi,395,,1,,304,90,,33,0.08,"15,614","1,310","11,920,272"
Comoros,388,,7,,340,41,,445,8,,,"871,225"
Myanmar,356,+1,6,,302,48,,7,0.1,"120,292","2,209","54,444,399"
Mauritius,344,,10,,334,0,,270,8,"205,285","161,391","1,271,973"
Isle of Man,336,,24,,312,0,,"3,949",282,"8,468","99,535","85,076"
Mongolia,293,,,,244,49,1,89,,"37,278","11,355","3,283,055"
Eritrea,282,,,,225,57,,79,,,,"3,550,907"
Guadeloupe,272,,14,,179,79,,680,35,"17,682","44,191","400,131"
Martinique,269,,15,,98,156,4,717,40,"12,227","32,585","375,236"
