"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"16,643,033","+7,603","656,495",+414,"10,231,720","5,754,818","66,580","2,135",84.2,,,
,,,,,,,,,,,,
USA,"4,433,410",,"150,444",,"2,136,603","2,146,363","19,100","13,388",454,"55,018,236","166,145","331,145,197"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,443,480",,"87,679",,"1,667,667","688,134","8,318","11,490",412,"12,601,096","59,252","212,669,472"
India,"1,482,503",,"33,448",,"953,189","495,866","8,944","1,074",24,"16,806,803","12,170","1,380,974,594"
,,,,,,,,,,,,
Russia,"818,120",,"13,354",,"603,329","201,437","2,300","5,606",92,"27,141,966","185,981","145,939,220"
South Africa,"452,529",,"7,067",,"274,925","170,537",539,"7,623",119,"2,802,211","47,206","59,361,137"
Mexico,"395,489","+4,973","44,022",+342,"256,777","94,690","3,922","3,065",341,"924,359","7,164","129,029,171"
Peru,"389,717",,"18,418",,"272,547","98,752","1,439","11,808",558,"2,250,256","68,182","33,003,766"
Chile,"347,923",,"9,187",,"319,954","18,782","1,555","18,189",480,"1,546,097","80,829","19,128,035"
Spain,"325,862",,"28,434",,N/A,N/A,617,"6,969",608,"6,320,836","135,187","46,756,155"
UK,"300,111",,"45,759",,N/A,N/A,104,"4,419",674,"14,981,525","220,601","67,912,305"
Iran,"293,606",,"15,912",,"255,144","22,550","3,819","3,492",189,"2,353,532","27,995","84,068,250"
Pakistan,"274,289",,"5,842",,"241,026","27,421","1,229","1,240",26,"1,890,236","8,546","221,178,468"
Saudi Arabia,"268,934",,"2,760",,"222,936","43,238","2,126","7,717",79,"3,056,956","87,715","34,851,095"
Colombia,"257,101",,"8,777",,"131,161","117,163","1,493","5,049",172,"1,439,436","28,268","50,921,453"
Italy,"246,286",,"35,112",,"198,593","12,581",45,"4,074",581,"6,586,123","108,943","60,454,987"
Turkey,"227,019",,"5,630",,"210,469","10,920","1,263","2,690",67,"4,617,971","54,713","84,403,549"
Bangladesh,"226,225",,"2,965",,"125,683","97,577",1,"1,373",18,"1,124,417","6,823","164,806,606"
Germany,"207,379",,"9,205",,"191,400","6,774",261,"2,475",110,"7,418,812","88,526","83,803,959"
France,"183,079",,"30,209",,"80,815","72,055",410,"2,804",463,"2,982,302","45,682","65,284,371"
Argentina,"167,416",,"3,059",,"72,575","91,782","1,002","3,702",68,"647,714","14,322","45,225,564"
Canada,"114,597",,"8,901",,"99,860","5,836","2,225","3,034",236,"3,863,830","102,310","37,765,990"
Iraq,"112,585",,"4,458",,"77,144","30,983",415,"2,795",111,"929,839","23,084","40,281,305"
Qatar,"109,597",,165,,"106,328","3,104",92,"39,033",59,"477,194","169,953","2,807,805"
Indonesia,"100,303",,"4,838",,"58,173","37,292",,366,18,"1,394,759","5,095","273,729,387"
Egypt,"92,482",,"4,652",,"34,838","52,992",41,903,45,"135,000","1,318","102,463,710"
China,"83,959",+68,"4,634",,"78,934",391,6,58,3,"90,410,000","62,814","1,439,323,776"
Kazakhstan,"83,122",,585,,"52,571","29,966",221,"4,423",31,"2,064,778","109,872","18,792,532"
Philippines,"82,040",,"1,945",,"26,446","53,649",351,748,18,"1,359,829","12,398","109,682,866"
Ecuador,"81,161",,"5,532",,"34,896","40,733",350,"4,595",313,"225,293","12,756","17,661,500"
Sweden,"79,395",,"5,700",,N/A,N/A,49,"7,858",564,"820,606","81,217","10,103,878"
Oman,"77,058",,393,,"57,028","19,637",177,"15,065",77,"300,493","58,749","5,114,887"
Bolivia,"71,181","+1,752","2,647",+64,"21,478","47,056",71,"6,092",227,"152,606","13,061","11,684,107"
Belarus,"67,251",,538,,"60,492","6,221",89,"7,117",57,"1,257,399","133,071","9,449,086"
Belgium,"66,428",+402,"9,822",+1,"17,452","39,154",52,"5,730",847,"1,562,934","134,813","11,593,364"
Ukraine,"65,656",,"1,616",,"36,112","27,928",82,"1,502",37,"970,705","22,206","43,712,999"
Kuwait,"64,379",,438,,"55,057","8,884",121,"15,060",102,"489,566","114,520","4,274,932"
Dominican Republic,"64,156",,"1,083",,"30,204","32,869",268,"5,910",100,"244,643","22,536","10,855,678"
Israel,"63,985",,474,,"27,133","36,378",311,"6,957",52,"1,651,766","179,587","9,197,590"
Panama,"61,442",,"1,322",,"35,086","25,034",158,"14,225",306,"211,373","48,935","4,319,425"
UAE,"59,177",,345,,"52,510","6,322",,"5,978",35,"4,875,295","492,513","9,898,815"
Netherlands,"53,151",,"6,141",,N/A,N/A,16,"3,101",358,"851,885","49,708","17,137,723"
