"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"17,300,954","+123,176","672,369","+2,801","10,789,545","5,839,040","66,391","2,220",86.3,,,
,,,,,,,,,,,,
USA,"4,590,809","+22,772","154,364",+524,"2,250,140","2,186,305","18,848","13,863",466,"56,933,137","171,923","331,155,784"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,556,207",+689,"90,212",+24,"1,787,419","678,576","8,318","12,019",424,"12,601,096","59,250","212,677,716"
India,"1,632,422","+48,038","35,712",+709,"1,029,069","567,641","8,944","1,182",26,"18,190,382","13,171","1,381,048,674"
,,,,,,,,,,,,
Russia,"834,499","+5,509","13,802",+129,"629,655","191,042","2,300","5,718",95,"27,569,646","188,911","145,939,561"
South Africa,"471,123",,"7,497",,"297,967","165,659",539,"7,936",126,"2,873,163","48,398","59,365,223"
Mexico,"408,449","+5,752","45,361",+485,"267,147","95,941","3,922","3,165",352,"953,514","7,389","129,036,569"
Peru,"400,683",,"18,816",,"280,044","101,823","1,427","12,140",570,"2,293,612","69,490","33,006,277"
Chile,"351,575",,"9,278",,"324,557","17,740","1,529","18,379",485,"1,580,823","82,640","19,128,931"
Spain,"332,510","+2,789","28,443",+2,N/A,N/A,617,"7,112",608,"6,678,414","142,835","46,756,254"
UK,"302,301",+846,"45,961",,N/A,N/A,94,"4,451",677,"15,478,728","227,916","67,914,250"
Iran,"301,530","+2,621","16,569",+226,"261,200","23,761","4,041","3,586",197,"2,431,804","28,925","84,074,125"
Pakistan,"277,402","+1,114","5,924",+32,"246,131","25,347","1,179","1,254",27,"1,952,730","8,828","221,201,945"
Colombia,"276,055",,"9,454",,"142,777","123,824","1,493","5,421",186,"1,502,809","29,511","50,924,415"
Saudi Arabia,"274,219","+1,629","2,842",+26,"231,198","40,179","2,044","7,868",82,"3,289,692","94,385","34,854,060"
Italy,"247,158",+382,"35,132",+3,"199,796","12,230",47,"4,088",581,"6,752,169","111,690","60,454,503"
Bangladesh,"234,889","+2,695","3,083",+48,"132,960","98,846",1,"1,425",19,"1,164,195","7,064","164,815,565"
Turkey,"228,924",,"5,659",,"212,557","10,708","1,280","2,712",67,"4,711,095","55,813","84,408,505"
Germany,"209,300",+489,"9,217",+5,"192,000","8,083",261,"2,497",110,"8,006,135","95,532","83,805,419"
France,"185,196",,"30,238",,"81,311","73,647",385,"2,837",463,"2,982,302","45,681","65,285,158"
Argentina,"178,996",,"3,311",+23,"80,596","95,089","1,002","3,958",73,"690,823","15,274","45,227,828"
Iraq,"121,263","+2,963","4,671",+68,"85,546","31,046",446,"3,010",116,"983,335","24,409","40,286,249"
Canada,"115,470",,"8,917",,"100,465","6,088","2,237","3,057",236,"3,899,192","103,241","37,767,796"
Qatar,"110,460",+307,171,+2,"107,135","3,154",91,"39,340",61,"492,569","175,428","2,807,805"
Indonesia,"106,336","+1,904","5,058",+83,"64,292","36,986",,388,18,"1,477,629","5,398","273,745,183"
Egypt,"93,356",,"4,728",,"37,025","51,603",41,911,46,"135,000","1,317","102,474,273"
Philippines,"89,374","+3,954","1,983",+23,"65,064","22,327",351,815,18,"1,462,755","13,335","109,690,836"
Kazakhstan,"87,664","+1,472",793,,"57,815","29,056",221,"4,665",42,"2,079,540","110,651","18,793,759"
China,"84,165",+105,"4,634",,"78,957",574,6,58,3,"90,410,000","62,814","1,439,323,776"
Ecuador,"83,193",,"5,623",,"35,572","41,998",350,"4,710",318,"233,877","13,241","17,662,965"
Sweden,"80,100",+34,"5,739",+9,N/A,N/A,41,"7,927",568,"810,356","80,200","10,104,222"
Oman,"79,159",+590,421,+9,"61,421","17,317",187,"15,474",82,"305,651","59,749","5,115,599"
Bolivia,"73,534","+1,207","2,808",+88,"22,506","48,220",71,"6,293",240,"158,497","13,564","11,684,977"
