"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"16,893,528","+9,737","663,476",+995,"10,456,395","5,773,657","66,488","2,167",85.1,,,
,,,,,,,,,,,,
USA,"4,498,343",,"152,320",,"2,185,894","2,160,129","18,992","13,584",460,"55,805,416","168,520","331,150,490"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,484,649",,"88,634",,"1,721,560","674,455","8,318","11,683",417,"12,601,096","59,251","212,673,594"
India,"1,532,135",,"34,224",,"988,770","509,141","8,944","1,109",25,"17,334,885","12,552","1,381,011,634"
,,,,,,,,,,,,
Russia,"823,515",,"13,504",,"612,217","197,794","2,300","5,643",93,"27,327,570","187,253","145,939,390"
South Africa,"459,761",,"7,257",,"287,313","165,191",539,"7,745",122,"2,830,635","47,683","59,363,180"
Mexico,"402,697","+7,208","44,876",+854,"261,457","96,364","3,922","3,121",348,"940,089","7,286","129,032,870"
Peru,"395,005",,"18,612",,"276,452","99,941","1,423","11,968",564,"2,270,717","68,799","33,005,022"
Chile,"349,800",,"9,240",,"322,332","18,228","1,529","18,287",483,"1,563,693","81,747","19,128,483"
Spain,"327,690",,"28,436",,N/A,N/A,617,"7,008",608,"6,678,414","142,835","46,756,205"
UK,"300,692",,"45,878",,N/A,N/A,97,"4,428",676,"15,197,099","223,772","67,913,277"
Iran,"296,273",,"16,147",,"257,019","23,107","3,902","3,524",192,"2,380,122","28,311","84,071,188"
Pakistan,"275,225",,"5,865",,"242,436","26,924","1,217","1,244",27,"1,909,846","8,634","221,190,207"
Saudi Arabia,"270,831",,"2,789",,"225,624","42,418","2,103","7,771",80,"3,174,886","91,095","34,852,577"
Colombia,"267,385",,"9,074",,"136,690","121,621","1,493","5,251",178,"1,470,613","28,879","50,922,934"
Italy,"246,488",,"35,123",,"198,756","12,609",40,"4,077",581,"6,634,293","109,740","60,454,745"
Bangladesh,"229,185",,"3,000",,"127,414","98,771",1,"1,391",18,"1,137,131","6,900","164,811,086"
Turkey,"227,982",,"5,645",,"211,561","10,776","1,280","2,701",67,"4,665,383","55,273","84,406,027"
Germany,"207,951",,"9,207",,"192,000","6,744",261,"2,481",110,"7,418,812","88,525","83,804,689"
France,"183,804",,"30,223",,"81,311","72,270",385,"2,815",463,"2,982,302","45,681","65,284,764"
Argentina,"173,355",,"3,179",,"75,083","95,093","1,002","3,833",70,"660,112","14,596","45,226,696"
Iraq,"115,332",,"4,535",,"81,062","29,735",481,"2,863",113,"946,761","23,502","40,283,777"
Canada,"114,994",,"8,912",,"100,134","5,948","2,237","3,045",236,"3,899,192","103,244","37,766,893"
Qatar,"109,880",,167,,"106,603","3,110",92,"39,134",59,"481,930","171,639","2,807,805"
Indonesia,"102,051",,"4,901",,"60,539","36,611",,373,18,"1,417,322","5,178","273,737,285"
Egypt,"92,947",,"4,691",,"35,959","52,297",41,907,46,"135,000","1,317","102,468,991"
Kazakhstan,"84,648",,793,,"54,404","29,451",221,"4,504",42,"2,064,778","109,869","18,793,145"
China,"84,060",+101,"4,634",,"78,944",482,6,58,3,"90,410,000","62,814","1,439,323,776"
Philippines,"83,673",,"1,947",,"26,617","55,109",351,763,18,"1,387,760","12,652","109,686,851"
Ecuador,"82,279",,"5,584",,"35,283","41,412",350,"4,658",316,"230,515","13,051","17,662,232"
Sweden,"79,494",,"5,702",,N/A,N/A,46,"7,868",564,"820,606","81,216","10,104,050"
Oman,"77,904",,402,,"58,587","18,915",181,"15,230",79,"302,397","59,117","5,115,243"
Bolivia,"72,327","+1,146","2,720",+73,"21,971","47,636",71,"6,190",233,"155,994","13,350","11,684,542"
Belarus,"67,366",,543,,"60,669","6,154",,"7,129",57,"1,270,082","134,413","9,449,077"
Belgium,"66,662",+234,"9,833",+11,"17,476","39,353",49,"5,750",848,"1,575,452","135,891","11,593,501"
Ukraine,"66,575",,"1,629",,"36,744","28,202",101,"1,523",37,"983,350","22,496","43,712,285"
Israel,"66,293",,486,,"32,182","33,625",316,"7,208",53,"1,651,766","179,587","9,197,590"
Kuwait,"65,149",,442,,"55,681","9,026",124,"15,239",103,"494,298","115,622","4,275,105"
Dominican Republic,"64,690",,"1,101",,"32,014","31,575",279,"5,959",101,"246,953","22,748","10,855,975"
Panama,"62,223",,"1,349",,"36,181","24,693",148,"14,405",312,"213,597","49,448","4,319,610"
UAE,"59,546",,347,,"52,905","6,294",,"6,015",35,"4,918,917","496,903","9,899,141"
Netherlands,"53,374",,"6,145",,N/A,N/A,21,"3,114",359,"962,965","56,189","17,137,826"
Singapore,"51,197",,27,,"45,893","5,277",,"8,746",5,"1,321,094","225,681","5,853,802"
Portugal,"50,410",,"1,722",,"35,626","13,062",41,"4,945",169,"1,561,919","153,215","10,194,321"
Romania,"47,053",,"2,239",,"26,128","18,686",357,"2,447",116,"1,131,699","58,859","19,227,162"
Guatemala,"46,451",,"1,782",,"33,494","11,175",5,"2,589",99,"144,492","8,055","17,938,738"
Poland,"43,904",,"1,682",,"33,043","9,179",61,"1,160",44,"2,157,025","56,999","37,843,317"
Nigeria,"41,804",,868,,"18,764","22,172",7,202,4,"267,842","1,297","206,480,284"
Honduras,"40,460",+719,"1,214",+48,"5,103","34,143",59,"4,080",122,"98,904","9,974","9,915,827"
Bahrain,"39,921",,141,,"36,531","3,249",50,"23,411",83,"808,276","474,005","1,705,206"
Armenia,"37,629",,719,,"27,357","9,553",10,"12,697",243,"158,527","53,490","2,963,675"
Afghanistan,"36,368",,"1,270",,"25,358","9,740",31,933,33,"87,794","2,252","38,987,836"
Switzerland,"34,609",,"1,978",,"31,000","1,631",22,"3,997",228,"769,622","88,877","8,659,398"
Ghana,"34,406",,168,,"30,621","3,617",8,"1,106",5,"382,752","12,300","31,117,501"
Kyrgyzstan,"33,718",,"1,329",,"22,296","10,093",24,"5,162",203,"267,718","40,987","6,531,829"
Japan,"30,961",,998,,"22,811","7,152",76,245,8,"746,229","5,902","126,445,338"
Azerbaijan,"30,858",,430,,"23,873","6,555",66,"3,041",42,"698,815","68,876","10,145,998"
Algeria,"28,615",,"1,174",,"19,233","8,208",73,652,27,,,"43,906,582"
Ireland,"25,929",,"1,764",,"23,364",801,6,"5,247",357,"619,875","125,434","4,941,844"
Serbia,"24,520",,551,,"14,047","9,922",156,"2,807",63,"641,091","73,397","8,734,526"
Moldova,"23,521",,753,,"16,462","6,306",362,"5,832",187,"128,076","31,755","4,033,213"
Uzbekistan,"21,699",,124,,"12,026","9,549",138,648,4,"1,377,915","41,127","33,504,094"
Morocco,"21,387",,327,,"17,066","3,994",31,579,9,"1,188,801","32,180","36,942,604"
Austria,"20,677",,713,,"18,379","1,585",15,"2,295",79,"861,050","95,563","9,010,316"
Nepal,"19,063",,49,,"13,875","5,139",,653,2,"664,709","22,785","29,173,583"
Kenya,"18,581",,299,,"7,908","10,374",44,345,6,"284,500","5,283","53,851,968"
,,,,,,,,,,,,
Cameroon,"17,179",,391,,"14,539","2,249",30,646,15,"145,000","5,453","26,589,889"
Venezuela,"16,571",,151,,"10,195","6,225",26,583,5,"1,511,433","53,164","28,429,472"
Costa Rica,"16,344",,125,,"3,920","12,299",53,"3,206",25,"81,266","15,942","5,097,587"
Czechia,"15,799",,374,,"11,428","3,997",16,"1,475",35,"668,117","62,379","10,710,532"
Ivory Coast,"15,713",,98,,"10,537","5,078",,595,4,"96,768","3,662","26,421,839"
Australia,"15,580",+276,176,+9,"9,431","5,973",46,610,7,"4,069,613","159,458","25,521,591"
El Salvador,"15,446",,417,,"7,903","7,126",489,"2,380",64,"231,684","35,706","6,488,711"
Ethiopia,"15,200",,239,,"6,526","8,435",66,132,2,"395,851","3,438","115,153,500"
S. Korea,"14,251",+48,300,,"13,069",882,12,278,6,"1,547,307","30,178","51,272,651"
Denmark,"13,577",,613,,"12,451",513,3,"2,343",106,"1,470,568","253,818","5,793,779"
Sudan,"11,496",,725,,"6,001","4,770",,262,17,401,9,"43,918,294"
Palestine,"10,938",,79,,"3,752","7,107",,"2,141",15,"155,355","30,406","5,109,416"
Bulgaria,"10,871",,355,,"5,766","4,750",40,"1,565",51,"248,429","35,775","6,944,133"
Bosnia and Herzegovina,"10,766",,297,,"5,220","5,249",,"3,283",91,"132,646","40,451","3,279,149"
North Macedonia,"10,315",,471,,"5,663","4,181",55,"4,951",226,"97,550","46,823","2,083,367"
Madagascar,"10,104",,93,,"6,613","3,398",103,364,3,"39,415","1,421","27,738,146"
Senegal,"9,805",,198,,"6,591","3,016",50,585,12,"106,267","6,336","16,772,989"
Norway,"9,150",,255,,"8,752",143,2,"1,687",47,"430,546","79,372","5,424,430"
Malaysia,"8,943",,124,,"8,607",212,1,276,4,"937,645","28,943","32,396,175"
DRC,"8,873",,208,,"5,930","2,735",,99,2,,,"89,734,926"
French Guiana,"7,562",,43,,"6,106","1,413",28,"25,275",144,"37,499","125,333","299,194"
Finland,"7,404",,329,,"6,920",155,,"1,336",59,"347,472","62,705","5,541,393"
Haiti,"7,340",,158,,"4,365","2,817",,643,14,"17,292","1,515","11,412,686"
Tajikistan,"7,276",,60,,"6,065","1,151",,762,6,,,"9,552,188"
Gabon,"7,189",,49,,"4,682","2,458",11,"3,225",22,"70,059","31,427","2,229,268"
Guinea,"7,126",,46,,"6,312",768,24,542,3,"14,407","1,095","13,156,113"
Luxembourg,"6,375",,113,,"4,855","1,407",5,"10,172",180,"410,443","654,926","626,701"
Mauritania,"6,249",,156,,"4,683","1,410",3,"1,342",33,"57,253","12,292","4,657,712"
Djibouti,"5,068",,58,,"4,992",18,,"5,124",59,"56,721","57,350","989,033"
Zambia,"5,002",,142,,"3,195","1,665",18,272,8,"79,269","4,304","18,417,419"
Albania,"4,997",,148,,"2,789","2,060",17,"1,737",51,"34,477","11,981","2,877,547"
Croatia,"4,923",,140,,"4,034",749,9,"1,200",34,"114,090","27,805","4,103,196"
Paraguay,"4,674",,45,,"3,039","1,590",8,655,6,"120,943","16,941","7,138,936"
CAR,"4,599",,59,,"1,546","2,994",2,951,12,"29,379","6,075","4,835,685"
Hungary,"4,456",,596,,"3,331",529,6,461,62,"330,239","34,192","9,658,385"
Greece,"4,279",,203,,"1,374","2,702",8,411,19,"457,540","43,914","10,418,919"
Lebanon,"4,023",,54,,"1,710","2,259",33,590,8,"276,797","40,568","6,822,968"
Malawi,"3,709",,103,,"1,667","1,939",4,194,5,"27,667","1,444","19,162,643"
Nicaragua,"3,672",,116,,"2,492","1,064",,554,17,,,"6,630,325"
Maldives,"3,506",,15,,"2,547",944,12,"6,478",28,"75,550","139,594","541,214"
Thailand,"3,297",,58,,"3,111",128,1,47,0.8,"717,814","10,282","69,813,599"
Somalia,"3,212",,93,,"1,562","1,557",2,202,6,,,"15,922,067"
Congo,"3,200",,54,,829,"2,317",,579,10,,,"5,527,156"
Equatorial Guinea,"3,071",,51,,842,"2,178",,"2,184",36,"16,000","11,381","1,405,862"
Libya,"3,017",,67,,579,"2,371",,439,10,"50,034","7,274","6,878,055"
Montenegro,"2,949",,45,,839,"2,065",7,"4,695",72,"34,210","54,468","628,072"
Mayotte,"2,900",,38,,"2,672",190,1,"10,613",139,"13,000","47,574","273,256"
Hong Kong,"2,885",,23,,"1,527","1,335",39,385,3,"524,969","69,981","7,501,547"
Zimbabwe,"2,817",,40,,604,"2,173",,189,3,"124,194","8,347","14,878,480"
Sri Lanka,"2,810",,11,,"2,296",503,1,131,0.5,"153,065","7,146","21,420,160"
Cuba,"2,555",,87,,"2,352",116,1,226,8,"253,761","22,405","11,326,068"
Mali,"2,520",,124,,"1,919",477,,124,6,"22,011","1,085","20,288,499"
Eswatini,"2,404",,39,,"1,025","1,340",5,"2,071",34,"20,784","17,901","1,161,053"
Cabo Verde,"2,354",,22,,"1,616",716,,"4,231",40,"41,634","74,823","556,432"
